name,logfc,adjpval,avgexp,color,location,hovinfo,pointsize,opaq
pth,-0.870259509318456,0.204360370134696,6.07787655215212,black,0,none,1.57305541033914,0.4
arnB,-0.87522020444481,0.227897374383191,5.31276892242983,black,0,none,1.17229408012322,0.4
yafX,0.696965014473915,0.274081592073616,3.7691751510829,black,0,none,0.65945097224,0.4
rutD,0.909680166034508,0.310596658835068,1.81779049083716,black,0,none,0.331511829583037,0.4
yfdL,0.909680166034508,0.310596658835068,1.81779049083716,black,0,none,0.331511829583037,0.4
yhfX,0.909680166034508,0.310596658835068,1.81779049083716,black,0,none,0.331511829583037,0.4
pheP,-1.06772161595994,0.233227053978453,5.19212721142734,black,0,none,1.11975615635868,0.4
ykfL,1.01189486090133,0.311309345736628,1.7758673630045,black,0,none,0.32682958970987,0.4
yjaB,0.784123690127356,0.260159800088042,4.2781096190134,black,0,none,0.794959028304326,0.4
ydcC,1.10350373296382,0.309786162504478,2.2437598500141,black,0,none,0.383595808948009,0.4
yicI,0.801338953893199,0.236747151930171,4.88148305392302,black,0,none,0.99572414328331,0.4
ysaB,0.868834346690022,0.262706673716974,4.27899076592516,black,0,none,0.795218251174558,0.4
rlmC,-0.950739758048639,0.250900180852072,4.52661474395267,black,0,none,0.871807868354233,0.4
ubiB,-0.560985034587437,0.176536267580564,6.75161705126105,black,0,none,2.04712135433585,0.4
yhjC,0.862756940352252,0.248153444744383,4.66796677343894,black,0,none,0.919058495063021,0.4
yfcD,0.422848174936854,0.139967894262217,7.49095771725751,black,0,none,2.74572042764422,0.4
csgE,-0.941922283027496,0.282549795077968,3.24959242024014,black,0,none,0.54656658539654,0.4
visC,-0.680540621792597,0.183070589749969,6.6300943614448,black,0,none,1.95154976950869,0.4
rlpA,0.431489088488477,0.12709346998024,7.99170685584978,black,0,none,3.35843656666876,0.4
wzxE,-0.779328307802643,0.22547166698725,5.55343133764934,black,0,none,1.28512418867815,0.4
yjhD,1.05771907345499,0.292093362387892,3.45121988907492,black,0,none,0.587654378690892,0.4
tolR,0.77672398074603,0.217465423041269,5.42247917991327,black,0,none,1.22236035906894,0.4
ykgS,1.01859618528434,0.319688572608239,1.7758673630045,black,0,none,0.32682958970987,0.4
cof,0.680342081117536,0.254687124069398,4.55188928544298,black,0,none,0.880060936593982,0.4
ybeU,1.17532674506474,0.31674145436403,2.22328372538318,black,0,none,0.380892751381423,0.4
xdhC,1.14607946236832,0.290758266676584,3.55567596485966,black,0,none,0.610255901232518,0.4
cbrA,1.17745404309122,0.317536794049419,2.22328372538318,black,0,none,0.380892751381423,0.4
yihP,1.0064774631486,0.289218120154564,3.60648506178106,black,0,none,0.621590411464012,0.4
nupX,1.0149982679459,0.31331726344586,2.54984339463362,black,0,none,0.426649784108261,0.4
yhfY,-0.691098043205867,0.301673649059779,2.6287769599292,black,0,none,0.43860303810003,0.4
yehT,-0.931988233793616,0.25399658268305,4.59786826861648,black,0,none,0.895291062889558,0.4
hslO,0.601180043355718,0.128231610334701,7.95439677242066,black,0,none,3.30817804637419,0.4
yfjM,0.994974411353079,0.300417303761038,3.23997317059742,black,0,none,0.544686417048539,0.4
yjjZ,-0.713116296811556,0.253241196892263,4.69608937238936,black,0,none,0.928783467147017,0.4
hicA,1.32893554325985,0.318741735267083,2.39436242727671,black,0,none,0.404145034004803,0.4
yfaE,-1.0339801425647,0.266990478232234,4.06774404744767,black,0,none,0.735606833982207,0.4
gfcC,1.02184084727501,0.324246642860533,1.7758673630045,black,0,none,0.32682958970987,0.4
yeaR,1.02184084727501,0.324246642860533,1.7758673630045,black,0,none,0.32682958970987,0.4
yfjP,0.755126713794398,0.286969149079005,3.72375289465102,black,0,none,0.648634488749141,0.4
ybcF,0.86330626461611,0.303776307794747,3.15906869940238,black,0,none,0.529150072661545,0.4
rhaS,-0.787414792205951,0.303118431403477,2.69117621239278,black,0,none,0.448314452340975,0.4
yqhH,1.24688742307175,0.320456086388956,2.43453044386068,black,0,none,0.409830280886496,0.4
wzxC,-0.681378890103884,0.306800269719587,2.61659971623091,black,0,none,0.43673507626309,0.4
ylbG,0.972185292128434,0.294043184766813,3.62032768506899,black,0,none,0.624717993291283,0.4
zntA,0.425040883421469,0.127679448946266,8.10432236798624,black,0,none,3.51504837702354,0.4
rdgC,0.696137746072148,0.166770273977877,6.74942046529415,black,0,none,2.04535064330531,0.4
ygcN,-0.960503652571569,0.26272303198638,4.49449503810846,black,0,none,0.861439566605602,0.4
ybaV,0.786508782766086,0.265523880156753,4.50996615761032,black,0,none,0.866417009626942,0.4
glpQ,0.548253794333189,0.181790572423632,6.43557175426276,black,0,none,1.808257294601,0.4
yciA,0.752041232508673,0.248197398082586,4.93121293371184,black,0,none,1.01454774292886,0.4
opgD,-0.551655952627043,0.144440127490193,7.86348753652948,black,0,none,3.1889933929014,0.4
artJ,-0.675755551897091,0.235651798896467,5.50012930618241,black,0,none,1.25917213211819,0.4
yghE,-0.927866382952511,0.265768818537298,4.44840189608985,black,0,none,0.846791853382583,0.4
yhbP,0.786935455964991,0.288578959812201,3.94055937928626,black,0,none,0.702060162888447,0.4
htrE,1.03854451921538,0.31585888459558,3.05409924331815,black,0,none,0.509711424840085,0.4
yoaD,-0.711254799222689,0.260159800088042,4.74446699394194,black,0,none,0.945772302098328,0.4
yoaH,0.667430214423743,0.227538301966459,5.42426397963201,black,0,none,1.22319347329202,0.4
yffO,1.45625119672475,0.316294393278472,3.19317165267046,black,0,none,0.535639035586197,0.4
pppA,0.696029416180853,0.273121460353346,4.42281130692081,black,0,none,0.838775520370764,0.4
insC1,0.480732433728854,0.169956936556971,6.81308794267492,black,0,none,2.09733653103675,0.4
yagI,0.804463731521407,0.227897374383191,5.42117584200453,black,0,none,1.22175236546229,0.4
yhfK,-0.57092200154521,0.191741427468232,6.63534869342735,black,0,none,1.95558298045761,0.4
galK,-0.689917881812405,0.16470726244476,7.35313621154317,black,0,none,2.59857300182133,0.4
cybC,-0.607960910850822,0.240170355074938,5.45281359564363,black,0,none,1.23660260273605,0.4
waaC,-0.590223214862309,0.194264775410814,6.6107046300502,black,0,none,1.93674218910984,0.4
fimF,-0.940210202366835,0.310294901738897,2.77959533184258,black,0,none,0.462484159414288,0.4
rsxE,-0.800111362914331,0.277319398165073,4.15198814418213,black,0,none,0.758779889425583,0.4
glxK,-0.960740329501445,0.264941496690236,4.69920058809604,black,0,none,0.929866117026468,0.4
yicS,0.784866204393868,0.2878845502461,4.09032477346655,black,0,none,0.741742108077948,0.4
yqjF,-1.07047592226777,0.29059747224331,3.59626270017979,black,0,none,0.61929172239162,0.4
appA,0.592899247018465,0.203916651303011,6.03910747582727,black,0,none,1.54958485473583,0.4
yfjZ,0.875226468691506,0.335975664571443,2.36461654314234,black,0,none,0.39999129215462,0.4
rng,-0.651704573118078,0.18024882334394,7.00588470545125,black,0,none,2.26344095951523,0.4
holB,-0.69779001855033,0.243251681636934,5.46352161567188,black,0,none,1.24167227841392,0.4
srlB,-0.901440595380761,0.295032163833237,3.5027622665503,black,0,none,0.598690645138152,0.4
ybbL,0.631420884044875,0.253717899986907,4.98516186723058,black,0,none,1.03540038440841,0.4
arfA,0.674820415290121,0.25830248108205,4.87381868637732,black,0,none,0.992856502343762,0.4
ydiF,0.928866935206082,0.343172264975499,1.81779049083716,black,0,none,0.331511829583037,0.4
fucR,-0.519696654882416,0.191172030499721,6.70624750256053,black,0,none,2.01087447344457,0.4
mmuM,-0.928935003574063,0.267033509974945,4.75443101079172,black,0,none,0.949312643742096,0.4
ycfQ,0.742696351402169,0.197545911435813,6.1943035958202,black,0,none,1.64583460461478,0.4
metR,-0.917845733327773,0.30418476727148,3.29710764135797,black,0,none,0.555958551915034,0.4
rrrD,0.916566706435576,0.3372028185344,2.59176652246629,black,0,none,0.432952904912545,0.4
malY,0.505734057077448,0.180692814077177,6.65806049012293,black,0,none,1.97311810425764,0.4
yigA,-0.635206421450889,0.21232293411611,6.32747957858228,black,0,none,1.73348376546715,0.4
ybbA,0.89431406746965,0.218893210029993,5.71209779676312,black,0,none,1.36580610745104,0.4
lldP,-0.840029396701364,0.193915230999704,6.78906255149548,black,0,none,2.07755723304402,0.4
mreC,-0.776663634404495,0.203377926170625,6.6051076986844,black,0,none,1.93249004017241,0.4
ygbI,0.778960759480865,0.201140395553716,6.14689053846154,black,0,none,1.61577441107499,0.4
yfgF,0.79226174221488,0.283934175948567,4.40892248952256,black,0,none,0.834459058527041,0.4
flhD,-0.76036099539027,0.297071354108922,3.72931266080876,black,0,none,0.649948036395724,0.4
zapD,-0.510713214410123,0.213326186333043,6.29984740998829,black,0,none,1.7148993613757,0.4
gcvR,0.496146630099234,0.160645068330191,7.24307113280282,black,0,none,2.48702653758615,0.4
fklB,-0.460662421906138,0.152308258169871,7.78687535968294,black,0,none,3.09205199614972,0.4
livG,1.24553769746627,0.341787937187966,2.717196079379,black,0,none,0.452433933889294,0.4
waaN,-0.522429092123497,0.186839479976744,6.90392672364909,black,0,none,2.1739362890798,0.4
rpiB,-0.800249723214215,0.307139374696459,3.44741523416588,black,0,none,0.586848559455278,0.4
ybjH,0.734675625750884,0.301784292330083,4.00731570088355,black,0,none,0.719456614080847,0.4
agaI,1.05124715631224,0.349042855984252,2.27153482824901,black,0,none,0.387296570370431,0.4
atoB,-0.847806307340832,0.327076159768041,2.71536233036942,black,0,none,0.452142249865669,0.4
torR,-0.679070685228345,0.279363534398654,4.60269838236438,black,0,none,0.896907370166704,0.4
yfbS,0.67221271071022,0.211112265299849,6.03516644794687,black,0,none,1.54721987842791,0.4
napG,-1.03532469081493,0.312341181462455,3.28189629843008,black,0,none,0.552932784654225,0.4
ygfK,0.816511563038245,0.279363534398654,4.61611358783332,black,0,none,0.901412996958657,0.4
gpmM,0.487910549652597,0.135629137534012,8.15946275784912,black,0,none,3.59450461051382,0.4
ydbL,-0.889007569504051,0.294388613991572,4.00856155431057,black,0,none,0.719785682881623,0.4
deaD,-0.639409814916136,0.215968896160113,6.35155684361061,black,0,none,1.74985121307996,0.4
metF,0.694949280234266,0.307681275240976,3.92465611843981,black,0,none,0.697983377353294,0.4
allS,0.992196098052276,0.354221726470874,2.30418819657822,black,0,none,0.391698208794,0.4
yejB,0.591271929659396,0.262729909130954,5.02486443933219,black,0,none,1.05103949431089,0.4
ycjR,-0.703959200436041,0.337156976900349,2.63074786582866,black,0,none,0.438906199772012,0.4
evgS,0.624070199503534,0.177241204269511,6.86798456965501,black,0,none,2.14328090500513,0.4
ybdJ,-0.84626581122341,0.297446720301795,4.00262622741033,black,0,none,0.718219436981899,0.4
ascB,0.579604494721087,0.240299151650708,5.50768843009255,black,0,none,1.26281832482206,0.4
ygbF,0.917067636337807,0.338717679455921,3.10825960248098,black,0,none,0.519641460436642,0.4
yiaT,0.891074048024998,0.324812376453385,3.55989933850487,black,0,none,0.611189426786937,0.4
ybfO,0.778171816284173,0.342157079593182,2.95533662917964,black,0,none,0.492135407047911,0.4
yffP,1.03494283583257,0.320840993762952,3.73564063584193,black,0,none,0.651446597594052,0.4
thiP,-0.90506072830458,0.306188244072091,3.69075840312435,black,0,none,0.640898331389806,0.4
pspF,0.645684497957004,0.230705388661277,5.69832771198143,black,0,none,1.35859479183338,0.4
gfcD,-0.909020894338186,0.304807851870421,3.79509550264121,black,0,none,0.665711079829715,0.4
intE,0.769827045611859,0.281600635551139,4.70038726131763,black,0,none,0.930279416053229,0.4
ydaS,0.773112686909777,0.357133255832208,2.42701579560592,black,0,none,0.408759972918699,0.4
aroE,-0.663299435200147,0.23995467519475,5.89214966269007,black,0,none,1.4639381865632,0.4
csdL,0.529479706434808,0.223715699271006,5.88384149569469,black,0,none,1.45924886651225,0.4
ybhM,0.640133167977797,0.317758185321824,3.78542790206861,black,0,none,0.66336871572023,0.4
ibsA,0.568336615843483,0.212805184047781,6.12406550602603,black,0,none,1.60151132043897,0.4
